iter	Passed	Remaining
676	1978	943
677	1980	940
678	1982	937
679	1984	934
680	1986	930
681	1988	927
682	1991	924
683	1993	920
684	1995	917
685	1997	914
686	1999	911
687	2001	907
688	2003	904
689	2005	901
690	2007	897
691	2010	894
692	2012	891
693	2014	888
694	2016	885
695	2019	881
696	2021	878
697	2023	875
698	2026	872
699	2029	869
700	2032	866
701	2034	863
702	2037	860
703	2040	857
704	2043	854
705	2046	852
706	2048	849
707	2051	846
708	2053	842
709	2056	839
710	2058	836
711	2060	833
712	2063	830
713	2065	827
714	2068	824
715	2070	821
716	2073	818
717	2076	815
718	2079	812
719	2081	809
720	2084	806
721	2087	803
722	2089	800
723	2092	797
724	2096	795
725	2098	792
726	2101	789
727	2104	786
728	2107	783
729	2113	781
730	2126	782
731	2140	783
732	2143	780
733	2146	777
734	2148	774
735	2152	771
736	2155	769
737	2157	766
738	2161	763
739	2166	761
740	2170	758
741	2173	755
742	2176	752
743	2178	749
744	2180	746
745	2183	743
746	2185	740
747	2187	737
748	2190	733
749	2191	730
750	2194	727
751	2196	724
752	2198	721
753	2201	718
754	2204	715
755	2206	712
756	2208	708
757	2210	705
758	2212	702
759	2214	699
760	2217	696
761	2219	693
762	2221	690
763	2224	687
764	2226	683
765	2229	680
766	2231	678
767	2234	674
768	2237	672
769	2239	668
770	2242	665
771	2244	663
772	2260	663
773	2262	660
774	2265	657
775	2267	654
776	2270	651
777	2272	648
778	2274	645
779	2277	642
780	2279	639
781	2282	636
782	2285	633
783	2287	630
784	2319	635
785	2322	632
786	2324	629
787	2327	626
788	2330	623
789	2333	620
790	2336	617
791	2338	614
792	2341	611
793	2345	608
794	2350	606
795	2353	603
796	2356	600
797	2358	597
798	2361	593
799	2364	591
800	2367	588
801	2369	584
802	2371	581
803	2373	578
804	2375	575
805	2377	572
806	2379	569
807	2381	565
808	2383	562
809	2385	559
810	2387	556
811	2389	553
812	2391	549
813	2393	546
814	2395	543
815	2397	540
816	2399	537
817	2401	534
818	2403	531
819	2405	527
820	2407	524
821	2409	521
822	2411	518
823	2413	515
824	2415	512
825	2417	509
826	2419	506
827	2422	503
828	2425	500
829	2428	497
830	2430	494
831	2433	491
832	2435	488
833	2437	485
834	2441	482
835	2444	479
836	2446	476
837	2448	473
838	2450	470
839	2452	467
840	2455	464
841	2457	461
842	2460	458
843	2462	455
844	2464	452
845	2467	449
846	2470	446
847	2473	443
848	2476	440
849	2479	437
850	2481	434
851	2484	431
852	2487	428
853	2490	425
854	2493	422
855	2499	420
856	2523	421
857	2526	418
858	2529	415
859	2537	413
860	2542	410
861	2545	407
862	2547	404
863	2549	401
864	2552	398
865	2555	395
866	2557	392
867	2559	389
868	2561	386
869	2563	382
870	2565	379
871	2567	376
872	2569	373
873	2571	370
874	2573	367
875	2575	364
876	2577	361
877	2578	358
878	2580	355
879	2582	352
880	2584	349
881	2586	346
882	2589	343
883	2590	339
884	2593	336
885	2594	333
886	2596	330
887	2598	327
888	2600	324
889	2602	321
890	2604	318
891	2606	315
892	2608	312
893	2611	309
894	2613	306
895	2616	303
896	2618	300
897	2621	297
898	2623	294
899	2626	291
900	2629	288
